ambulatory,breathing,pulse,follows_commands,decontaminated,hazard_type,tachypneic,prior_probability,correct_tag,kg_recommended,final_tag,correct,matches_kg,any_violation,n_actions
True,False,False,False,False,chemical,False,0.000600,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,False,False,False,biological,False,0.000600,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,False,False,False,radiological,False,0.000600,tag_minor,tag_minor,tag_minor,True,True,True,1
True,False,False,False,False,nuclear,False,0.000600,tag_minor,tag_minor,tag_minor,True,True,True,1
False,True,True,True,True,,False,0.136080,tag_delayed,tag_delayed,tag_delayed,True,True,False,1
False,True,True,True,False,chemical,False,0.022680,tag_delayed,tag_delayed,tag_delayed,True,True,True,1
False,True,True,True,False,biological,False,0.022680,tag_delayed,tag_delayed,tag_delayed,True,True,True,1
False,True,True,True,False,radiological,False,0.022680,tag_delayed,tag_delayed,tag_delayed,True,True,True,1
False,True,True,True,False,nuclear,False,0.022680,tag_delayed,tag_delayed,tag_delayed,True,True,True,1
False,True,True,True,True,,True,0.015120,tag_immediate,tag_immediate,tag_immediate,True,True,False,1
False,True,True,True,False,chemical,True,0.002520,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,True,False,biological,True,0.002520,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,True,False,radiological,True,0.002520,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,True,False,nuclear,True,0.002520,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,False,True,,False,0.090720,tag_immediate,tag_immediate,tag_immediate,True,True,False,1
False,True,True,False,False,chemical,False,0.015120,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,False,False,biological,False,0.015120,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,False,False,radiological,False,0.015120,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,False,False,nuclear,False,0.015120,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,False,True,,True,0.010080,tag_immediate,tag_immediate,tag_immediate,True,True,False,1
False,True,True,False,False,chemical,True,0.001680,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,False,False,biological,True,0.001680,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,False,False,radiological,True,0.001680,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,True,False,False,nuclear,True,0.001680,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,True,True,,False,0.045360,tag_immediate,tag_immediate,tag_immediate,True,True,False,1
False,True,False,True,False,chemical,False,0.007560,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,True,False,biological,False,0.007560,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,True,False,radiological,False,0.007560,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,True,False,nuclear,False,0.007560,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,True,True,,True,0.005040,tag_immediate,tag_immediate,tag_immediate,True,True,False,1
False,True,False,True,False,chemical,True,0.000840,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,True,False,biological,True,0.000840,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,True,False,radiological,True,0.000840,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,True,False,nuclear,True,0.000840,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,False,True,,False,0.030240,tag_immediate,tag_immediate,tag_immediate,True,True,False,1
False,True,False,False,False,chemical,False,0.005040,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,False,False,biological,False,0.005040,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,False,False,radiological,False,0.005040,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,False,False,nuclear,False,0.005040,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,False,True,,True,0.003360,tag_immediate,tag_immediate,tag_immediate,True,True,False,1
False,True,False,False,False,chemical,True,0.000560,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,False,False,biological,True,0.000560,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,False,False,radiological,True,0.000560,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,True,False,False,False,nuclear,True,0.000560,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,False,True,True,True,,False,0.037800,tag_immediate,tag_immediate,tag_immediate,True,True,False,1
False,False,True,True,False,chemical,False,0.006300,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,False,True,True,False,biological,False,0.006300,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,False,True,True,False,radiological,False,0.006300,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,False,True,True,False,nuclear,False,0.006300,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,False,True,False,True,,False,0.025200,tag_immediate,tag_immediate,tag_immediate,True,True,False,1
False,False,True,False,False,chemical,False,0.004200,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,False,True,False,False,biological,False,0.004200,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,False,True,False,False,radiological,False,0.004200,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,False,True,False,False,nuclear,False,0.004200,tag_immediate,tag_immediate,tag_immediate,True,True,True,1
False,False,False,True,True,,False,0.012600,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
False,False,False,True,False,chemical,False,0.002100,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
False,False,False,True,False,biological,False,0.002100,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
False,False,False,True,False,radiological,False,0.002100,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
False,False,False,True,False,nuclear,False,0.002100,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
False,False,False,False,True,,False,0.008400,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
False,False,False,False,False,chemical,False,0.001400,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
False,False,False,False,False,biological,False,0.001400,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
False,False,False,False,False,radiological,False,0.001400,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
False,False,False,False,False,nuclear,False,0.001400,tag_expectant,tag_expectant,tag_immediate,False,False,True,1
